"","event","start","end","group","notes","category"
"1",NA,2023-10-03,2023-10-10,"SWP regular counts, CWT reading","Active","1"
"2",NA,2023-10-03,2023-10-10,"SWP larval sampling","Not Active","4"
"3",NA,2023-10-03,2023-10-10,"CVP regular counts, CWT reading","Active","1"
"4",NA,2023-10-03,2023-10-10,"CVP larval sampling","Not Active","4"
"5",NA,2023-10-03,2023-10-10,"Smelt Larval Survey","Not Active","4"
"6",NA,2023-10-03,2023-10-10,"LEPS","Not Active","4"
"7",NA,2023-10-03,2023-10-10,"20mm Survey","Not Active","4"
"8",NA,2023-10-03,2023-10-10,"Fall Mid-water Trawl","Active","1"
"9",NA,2023-10-03,2023-10-10,"Summer Townet Survey","Not Active","4"
"10",NA,2023-10-03,2023-10-10,"Bay Study","Active","1"
"11",NA,2023-10-03,2023-10-10,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"12",NA,2023-10-03,2023-10-10,"DJFMP- Seines","Active","1"
"13",NA,2023-10-03,2023-10-10,"EDSM","Active","1"
"14",NA,2023-10-03,2023-10-10,"EMP","Active","1"
"15",NA,2023-10-03,2023-10-10,"Mossdale","Active","1"
"16",NA,2023-10-03,2023-10-10,"USGS Flow monitoring","Active","1"
"17",NA,2023-10-03,2023-10-10,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"18",NA,2023-10-03,2023-10-10,"Knights Landing RST","Active","1"
"19",NA,2023-10-03,2023-10-10,"Tisdale RST","Active","1"
"20",NA,2023-10-03,2023-10-10,"GCID RST","Not Active","4"
"21",NA,2023-10-03,2023-10-10,"Yuba River (Hallwood) RST","Not Active*","1"
"22",NA,2023-10-03,2023-10-10,"Redd dewatering and stranding surveys","Not Active","4"
"23",NA,2023-10-03,2023-10-10,"Sacramento Carcass and Redd Surveys","Active","1"
"24",NA,2023-10-03,2023-10-10,"Lower Sacramento RST","Active","1"
"25",NA,2023-10-03,2023-10-10,"Feather River (upper DWR) RST","Active","1"
"26",NA,2023-10-03,2023-10-10,"Feather River (lower CDFW) RST","Not Active","4"
"27",NA,2023-10-03,2023-10-10,"SJRRP CDFW Field Monitoring","Not Active","4"
"28",NA,2023-10-03,2023-10-10,"SJRRP USBR Field Monitoring","Interrupted","3"
"29",NA,2023-10-03,2023-10-10,"Stanislaus Fish Weir","Not Active","4"
"30",NA,2023-10-03,2023-10-10,"American River Carcass/Redd Surveys","Not Active","4"
"31",NA,2023-10-03,2023-10-10,"Caswell RST","Active","1"
"32",NA,2023-10-03,2023-10-10,"Wallace Weir","Not Active","4"
"33",NA,2023-10-03,2023-10-10,"Butte Creek RST/Diversion Trap","Not Active/Active","4/1"
"34",NA,2023-10-03,2023-10-10,"SWP regular counts, CWT reading","Active","1"
"35",NA,2023-10-03,2023-10-10,"SWP larval sampling","Not Active","4"
